"110年04月28日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"特選大蘋果報酬正向兩倍指數","18,677.15","+","101.94","0.55","",
"特選大蘋果報酬反向一倍指數","6,545.68","-","18.01","-0.27","",
"特選價值成長報酬指數","8,060.56","+","91.75","1.15","",
"臺灣上櫃企業社會責任報酬指數","7,033.29","+","5.11","0.07","",
"特選台股領航報酬指數","8,232.80","-","11.70","-0.14","",
"特選Smart多因子報酬指數","6,850.91","-","19.73","-0.29","",
"110年04月28日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","498,682,933,615","10,586,375,811","3,822,125",
"2.台灣存託憑證","193,045,789","21,168,510","5,859",
"3.受益憑證","0","0","0",
"4.ETF","7,252,391,095","684,371,181","91,358",
"5.受益證券","17,827,939","1,222,100","317",
"6.變更交易股票","69,590,494","11,267,663","3,113",
"7.認購(售)權證","4,799,938,070","3,179,526,000","154,975",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","143,731,630","20,746,000","3,016",
"證券合計(1+6)","498,752,524,109","10,597,643,474","3,825,238",
"總計(1~13)","511,159,458,632","14,504,677,265","4,080,763",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,315(231)","490(45)",
"下跌(跌停)","5,828(31)","390(0)",
"持平","608","68",
"未成交","10,226","0",
"無比價","1,777","1",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"110年04月28日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","3,106,978","4,480","436,811,318","141.25","141.25","140.20","140.40","-","0.85","140.40","43","140.45","1","0.00",
="0051","元大中型100","260,878","107","14,670,779","56.20","56.50","55.85","56.10","+","0.40","56.05","1","56.10","32","0.00",
="0052","富邦科技","894,372","474","115,375,007","129.45","129.50","128.70","128.90","-","0.60","128.90","20","129.00","4","0.00",
="0053","元大電子","18,405","21","1,262,117","68.50","68.85","68.40","68.40","-","0.40","68.35","5","68.55","1","0.00",
="0054","元大台商50","9,060","9","294,898","32.52","32.58","32.52","32.52"," ","0.00","32.42","1","32.60","1","0.00",
="0055","元大MSCI金融","82,690","67","1,746,299","21.11","21.20","21.05","21.06","-","0.05","21.07","1","21.10","1","0.00",
="0056","元大高股息","5,318,577","5,215","191,092,171","35.98","35.99","35.86","35.98"," ","0.00","35.97","8","35.98","85","0.00",
="0057","富邦摩台","24,051","9","2,302,082","96.15","96.15","95.35","95.70","-","0.55","95.55","10","95.75","1","0.00",
="0061","元大寶滬深","281,387","109","6,587,775","23.32","23.45","23.31","23.44","+","0.12","23.37","2","23.44","3","0.00",
="006203","元大MSCI台灣","3,040","5","203,330","67.00","67.00","66.65","66.65","-","0.20","66.60","35","66.85","35","0.00",
="006204","永豐臺灣加權","1,052","3","93,817","89.20","89.20","89.20","89.20","+","0.50","88.70","10","89.05","10","0.00",
="006205","富邦上証","1,355,538","327","50,796,240","37.50","37.59","37.28","37.47","-","0.01","37.46","1","37.47","22","0.00",
="006206","元大上證50","365,743","101","13,755,114","37.72","37.74","37.45","37.60","-","0.05","37.56","1","37.60","57","0.00",
="006207","FH滬深","205,780","29","6,249,345","30.36","30.50","30.26","30.43","+","0.12","30.36","31","30.44","20","0.00",
="006208","富邦台50","1,348,775","1,485","108,601,032","80.85","80.85","80.35","80.55","-","0.35","80.55","14","80.60","13","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","8.64","1","8.77","2","0.00",
="00631L","元大台灣50正2","2,329,041","488","302,723,478","129.85","130.40","129.25","130.00","-","0.60","130.00","19","130.05","20","0.00",
="00632R","元大台灣50反1","84,900,325","4,178","484,234,192","5.71","5.72","5.69","5.69"," ","0.00","5.69","23,707","5.70","550","0.00",
="00633L","富邦上証正2","4,856,054","1,026","319,502,207","66.00","66.25","65.05","65.65","-","0.05","65.65","27","65.70","103","0.00",
="00634R","富邦上証反1","588,000","48","2,317,660","3.90","3.95","3.90","3.94"," ","0.00","3.93","299","3.95","622","0.00",
="00635U","期元大S&P黃金","1,071,830","230","25,482,232","23.79","23.82","23.73","23.79","-","0.13","23.78","4","23.79","41","0.00",
="00636","國泰中國A50","1,939,294","296","52,128,315","26.95","26.96","26.79","26.84","-","0.01","26.84","45","26.85","17","0.00",
="00636K","國泰中國A50+U","200","2","1,926","9.63","9.63","9.63","9.63","+","0.03","9.58","12","9.67","12","0.00",
="00637L","元大滬深300正2","35,740,760","4,940","929,964,740","26.04","26.20","25.75","26.00","+","0.05","26.00","9","26.01","27","0.00",
="00638R","元大滬深300反1","603,100","53","4,773,892","7.91","7.95","7.88","7.90","+","0.01","7.91","5","7.92","501","0.00",
="00639","富邦深100","1,060,305","237","17,700,355","16.55","16.77","16.53","16.74","+","0.24","16.72","4","16.74","57","0.00",
="00640L","富邦日本正2","339,000","31","9,397,680","27.64","27.76","27.63","27.74","+","0.06","27.72","53","27.77","50","0.00",
="00641R","富邦日本反1","170,000","38","1,848,610","10.91","10.91","10.86","10.86","-","0.04","10.86","100","10.89","55","0.00",
="00642U","期元大S&P石油","15,225,815","2,018","162,851,396","10.73","10.73","10.66","10.69","+","0.09","10.69","6,163","10.70","248","0.00",
="00643","群益深証中小","607,405","165","10,634,916","17.42","17.59","17.42","17.46","+","0.06","17.46","11","17.52","20","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","4.10","2","4.17","1","0.00",
="00645","富邦日本","120,372","19","3,008,773","24.97","25.02","24.97","25.02","+","0.01","24.97","3","25.02","30","0.00",
="00646","元大S&P500","175,348","168","6,282,173","35.83","35.85","35.78","35.85"," ","0.00","35.84","1","35.85","5","0.00",
="00647L","元大S&P500正2","81,000","13","5,023,300","61.95","62.15","61.95","62.15"," ","0.00","62.10","50","62.15","32","0.00",
="00648R","元大S&P500反1","562,000","52","4,155,760","7.40","7.41","7.39","7.40"," ","0.00","7.39","1,107","7.40","1,291","0.00",
="00650L","FH香港正2","813,000","30","24,894,040","30.30","30.75","30.30","30.57","-","0.02","30.57","17","30.64","5","0.00",
="00651R","FH香港反1","33,000","11","226,320","6.82","6.88","6.81","6.85"," ","0.00","6.86","9","6.87","103","0.00",
="00652","富邦印度","457,467","210","11,237,649","24.40","24.71","24.40","24.64","+","0.24","24.63","30","24.64","4","0.00",
="00653L","富邦印度正2","2,451,859","639","83,678,422","33.86","34.45","33.76","34.41","+","0.85","34.41","246","34.42","7","0.00",
="00654R","富邦印度反1","546,000","154","5,378,290","9.91","9.91","9.75","9.78","-","0.08","9.78","4","9.80","4","0.00",
="00655L","國泰中國A50正2","2,358,000","681","116,743,340","49.70","49.98","49.03","49.55","-","0.03","49.53","1","49.55","5","0.00",
="00656R","國泰中國A50反1","30,000","7","217,940","7.27","7.28","7.24","7.24","-","0.04","7.25","300","7.27","250","0.00",
="00657","國泰日經225","102,001","5","3,641,426","35.60","35.79","35.60","35.79","+","0.05","35.71","30","35.79","39","0.00",
="00657K","國泰日經225+U","200","2","2,560","12.80","12.80","12.80","12.80","-","0.03","12.78","12","12.85","12","0.00",
="00660","元大歐洲50","3,066","5","87,563","28.54","28.58","28.54","28.58"," ","0.00","28.53","20","28.56","1","0.00",
="00661","元大日經225","1,100","2","40,050","36.43","36.43","36.43","36.43"," ","0.00","36.32","13","36.42","2","0.00",
="00662","富邦NASDAQ","156,865","69","7,875,796","50.40","50.40","50.10","50.25","-","0.15","50.15","15","50.25","82","0.00",
="00663L","國泰臺灣加權正2","2,000","1","233,900","116.95","116.95","116.95","116.95","-","0.10","116.85","206","117.05","70","0.00",
="00664R","國泰臺灣加權反1","3,136,509","250","20,293,640","6.47","6.49","6.46","6.46"," ","0.00","6.46","389","6.47","2,505","0.00",
="00665L","富邦恒生國企正2","63,000","34","1,596,530","25.36","25.50","25.15","25.39","+","0.04","25.31","25","25.39","49","0.00",
="00666R","富邦恒生國企反1","71,000","3","773,900","10.90","10.90","10.90","10.90"," ","0.00","10.90","50","10.94","50","0.00",
="00668","國泰美國道瓊","21,411","27","731,611","34.19","34.25","34.15","34.25","+","0.06","34.18","3","34.25","44","0.00",
="00668K","國泰美國道瓊+U","200","2","2,450","12.25","12.25","12.25","12.25"," ","0.00","12.20","22","12.30","22","0.00",
="00669R","國泰美國道瓊反1","916,244","110","7,536,683","8.23","8.24","8.22","8.23","+","0.03","8.22","266","8.23","907","0.00",
="00670L","富邦NASDAQ正2","289,013","77","27,311,141","94.35","94.60","94.35","94.55","-","0.65","94.45","7","94.55","73","0.00",
="00671R","富邦NASDAQ反1","942,000","97","5,489,020","5.83","5.84","5.82","5.82","+","0.01","5.82","489","5.84","2,500","0.00",
="00673R","期元大S&P原油反1","391,000","119","7,067,790","18.06","18.13","18.04","18.06","-","0.19","18.07","5","18.08","4","0.00",
="00674R","期元大S&P黃金反1","251,000","28","3,398,570","13.53","13.56","13.51","13.56","+","0.08","13.55","2","13.56","343","0.00",
="00675L","富邦臺灣加權正2","305,044","100","15,281,973","50.20","50.30","49.90","50.20","-","0.15","50.15","150","50.20","23","0.00",
="00676R","富邦臺灣加權反1","3,936,000","297","13,888,430","3.52","3.54","3.52","3.52","-","0.01","3.52","1,594","3.53","1,819","0.00",
="00677U","期富邦VIX","316,431,178","10,359","524,156,922","1.67","1.68","1.65","1.65","-","0.05","1.65","77,285","1.66","44,199","0.00",
="00678","群益NBI生技","341,759","35","9,644,090","28.25","28.25","28.19","28.23","-","0.08","28.22","1","28.23","9","0.00",
="00680L","元大美債20正2","68,000","33","1,514,510","22.27","22.33","22.20","22.20","-","0.45","22.17","2","22.21","12","0.00",
="00681R","元大美債20反1","116,000","10","1,659,650","14.32","14.36","14.30","14.32","+","0.15","14.32","54","14.36","17","0.00",
="00682U","期元大美元指數","12,073,000","38","217,917,770","18.05","18.06","18.02","18.05"," ","0.00","18.05","19","18.06","35","0.00",
="00683L","期元大美元指正2","10,652,000","193","178,528,300","16.76","16.79","16.73","16.76"," ","0.00","16.76","143","16.79","84","0.00",
="00684R","期元大美元指反1","0","0","0","--","--","--","--"," ","0.00","19.19","20","19.25","75","0.00",
="00685L","群益臺灣加權正2","4,000","3","176,320","44.09","44.09","44.05","44.09","+","0.24","43.93","10","44.04","5","0.00",
="00686R","群益臺灣加權反1","95,000","17","364,570","3.83","3.84","3.83","3.84","+","0.01","3.83","51","3.84","200","0.00",
="00688L","國泰20年美債正2","264,000","15","5,876,830","22.26","22.31","22.22","22.22","-","0.45","22.16","71","22.21","111","0.00",
="00689R","國泰20年美債反1","245,000","15","3,687,460","15.05","15.07","15.03","15.07","+","0.18","15.06","18","15.07","83","0.00",
="00690","兆豐藍籌30","253,592","34","8,461,022","33.45","33.50","33.34","33.39","-","0.06","33.40","20","33.50","1","0.00",
="00692","富邦公司治理","1,616,044","909","57,607,574","35.76","35.76","35.58","35.70","-","0.06","35.70","1","35.71","90","0.00",
="00693U","期街口S&P黃豆","2,005,880","538","45,799,318","22.79","22.94","22.73","22.88","-","0.52","22.88","871","22.89","15","0.00",
="00700","富邦恒生國企","126,100","7","2,442,076","19.39","19.39","19.36","19.39","+","0.03","19.41","1","19.48","42","0.00",
="00701","國泰股利精選30","1,704,765","744","41,279,911","24.26","24.30","24.15","24.24","-","0.01","24.24","10","24.25","64","0.00",
="00702","國泰標普低波高息","103,248","12","2,087,464","20.15","20.22","20.15","20.22","+","0.06","20.18","5","20.22","4","0.00",
="00703","台新MSCI中國","96,190","28","2,439,244","25.30","25.40","25.30","25.35","-","0.05","25.34","20","25.38","5","0.00",
="00706L","期元大S&P日圓正2","9,000","6","147,120","16.33","16.36","16.33","16.36","-","0.16","16.35","3","16.36","1","0.00",
="00707R","期元大S&P日圓反1","0","0","0","--","--","--","--"," ","0.00","19.59","34","19.63","21","0.00",
="00708L","期元大S&P黃金正2","3,024,401","1,256","78,142,281","25.91","25.92","25.76","25.87","-","0.28","25.86","30","25.87","281","0.00",
="00709","富邦歐洲","127,296","22","2,948,910","23.15","23.19","23.14","23.19","-","0.01","23.14","89","23.19","47","0.00",
="00710B","FH彭博高收益債","489,076","203","9,004,041","18.42","18.43","18.40","18.42"," ","0.00","18.40","12","18.42","37","0.00",
="00711B","FH彭博新興債","85,369","39","1,696,375","19.89","19.89","19.86","19.87","-","0.12","19.86","11","19.87","106","0.00",
="00712","FH富時不動產","2,070,739","984","29,622,449","14.31","14.32","14.29","14.32","+","0.09","14.31","58","14.32","19","0.00",
="00713","元大台灣高息低波","183,602","176","8,020,688","44.04","44.13","43.51","43.58","-","0.32","43.57","24","43.58","27","0.00",
